Dataset:Dermatology  Date:19-Apr-2025 19:44:17noUpdateA{i}
Dataset:Dermatology  Date:19-Apr-2025 19:46:47noUpdateA{i}
Dataset:Dermatology  Date:19-Apr-2025 19:49:06noUpdateA{i}
Dataset:Dermatology  Date:19-Apr-2025 19:59:51noUpdateA{i}
Dataset:Dermatology  Date:19-Apr-2025 20:00:05noUpdateA{i}
Dataset:Dermatology  Date:19-Apr-2025 20:08:26
Dataset:Dermatology  Date:19-Apr-2025 20:09:20
Dataset:Dermatology  Date:19-Apr-2025 20:09:45
0.25	10	0.86313	0.79795	0.88056	0.82986	0.82863	0.83359	0.78628	2.4067	0.062547	0.040356	0.050513	0.053067	0.078225	0.027169	0.069928	0.072856	0.50934
2	10	0.89497	0.84056	0.90827	0.86929	0.86804	0.8726	0.83585	2.4084	0.062982	0.041885	0.047903	0.054979	0.076381	0.037733	0.070939	0.073454	0.53521
16	10	0.87464	0.81649	0.89212	0.84541	0.84353	0.8511	0.80581	2.396	0.064087	0.035048	0.049519	0.04964	0.07731	0.039064	0.064633	0.11372	0.48899
128	10	0.81469	0.76737	0.85642	0.78294	0.79213	0.77737	0.72921	2.4285	0.088474	0.038678	0.048207	0.070105	0.076622	0.078762	0.087228	0.10004	0.50294
1024	10	0.82715	0.78033	0.86978	0.79618	0.8102	0.7862	0.74614	2.4456	0.090278	0.0359	0.044194	0.070999	0.076297	0.081189	0.088111	0.09584	0.50584
8192	10	0.83564	0.77349	0.86855	0.79495	0.81019	0.78301	0.74446	2.4461	0.082529	0.034944	0.04422	0.063755	0.074763	0.065476	0.080061	0.084979	0.49983
0.25	100	0.79687	0.77176	0.83693	0.75502	0.76217	0.75249	0.69382	2.4129	0.06227	0.037486	0.042285	0.049006	0.065514	0.057694	0.062808	0.1274	0.44044
2	100	0.87626	0.85605	0.90022	0.86314	0.85541	0.87364	0.82774	2.398	0.072225	0.048525	0.049172	0.065434	0.085255	0.051146	0.084093	0.07559	0.45175
16	100	0.84765	0.81148	0.87827	0.81916	0.81923	0.82266	0.77277	2.4093	0.08462	0.046088	0.053829	0.06651	0.092016	0.046935	0.086549	0.093766	0.51541
128	100	0.8219	0.73193	0.84665	0.7562	0.76728	0.74772	0.69507	2.4369	0.082907	0.045087	0.052232	0.067247	0.092832	0.044611	0.087327	0.069134	0.56184
1024	100	0.80771	0.73585	0.84106	0.75346	0.76288	0.74584	0.69197	2.436	0.080265	0.046934	0.047651	0.063594	0.079894	0.051666	0.081472	0.059712	0.49433
8192	100	0.85603	0.82657	0.88581	0.82799	0.82843	0.82982	0.78415	2.4183	0.085532	0.052622	0.054425	0.074896	0.093489	0.061405	0.095599	0.062624	0.47479
0.25	1000	0.69844	0.69213	0.76469	0.68301	0.68531	0.68179	0.60423	2.415	0.063866	0.027218	0.019566	0.061996	0.053979	0.073742	0.07592	0.059137	0.43754
2	1000	0.61	0.61223	0.72341	0.57901	0.60384	0.55699	0.47868	2.4804	0.02125	0.021919	0.020689	0.021857	0.031137	0.024693	0.02829	0.056007	0.45967
16	1000	0.64603	0.62398	0.72413	0.60223	0.6272	0.57966	0.50738	2.489	0.036889	0.033866	0.033406	0.039745	0.042111	0.04096	0.049816	0.035917	0.43802
128	1000	0.58922	0.62256	0.73073	0.59264	0.60235	0.58394	0.49258	2.4506	0.041043	0.012259	0.0076803	0.038992	0.040443	0.043466	0.048213	0.04618	0.45702
1024	1000	0.56196	0.58839	0.6986	0.55103	0.55662	0.54624	0.43975	2.448	0.045019	0.01981	0.018242	0.03791	0.042679	0.038883	0.047727	0.04121	0.46552
8192	1000	0.60637	0.60953	0.71894	0.5969	0.6027	0.59286	0.49679	2.4416	0.068156	0.016417	0.028105	0.055785	0.062532	0.058359	0.070067	0.069171	0.27852
Dataset:Dermatology  Date:19-Apr-2025 20:44:55
0.25	0.1	0.67447	0.68295	0.77704	0.65859	0.67556	0.64431	0.57554	2.4455	0.055138	0.033462	0.030259	0.044851	0.050935	0.052754	0.056139	0.093605	0.52449
2	0.1	0.68922	0.65125	0.76531	0.63479	0.65213	0.62135	0.54553	2.4451	0.070844	0.043248	0.050019	0.065221	0.079124	0.064591	0.083376	0.11544	0.51141
16	0.1	0.65777	0.70608	0.76726	0.65535	0.66603	0.65067	0.56872	2.423	0.072264	0.04993	0.049763	0.062374	0.086931	0.049061	0.086438	0.14034	0.50511
128	0.1	0.6581	0.65658	0.75179	0.64263	0.65609	0.6314	0.55499	2.4463	0.065772	0.031094	0.03176	0.058111	0.064996	0.059477	0.073826	0.072857	0.50362
1024	0.1	0.6767	0.66653	0.77196	0.65004	0.65542	0.64747	0.56306	2.4164	0.04759	0.035658	0.032276	0.050034	0.053687	0.064174	0.063005	0.099705	0.49788
8192	0.1	0.71508	0.72347	0.79693	0.70378	0.69848	0.71242	0.62849	2.3894	0.061073	0.038172	0.035707	0.060456	0.065443	0.070988	0.07752	0.10502	0.52443
0.25	1	0.78916	0.73739	0.8267	0.75845	0.7589	0.76287	0.69734	2.3986	0.091893	0.040572	0.052798	0.073876	0.088797	0.077802	0.093347	0.12967	0.49027
2	1	0.69313	0.66449	0.76665	0.65212	0.667	0.64313	0.56643	2.4262	0.08144	0.044204	0.050872	0.073146	0.084011	0.0792	0.094213	0.14869	0.49757
